citing,cited,citing_sic,citing_gyear,citing_icl,cited_sic,cited_gyear,cited_icl
6769487,6672093,1389,2004,E21B,3533,2004,F25B
6769861,6682113,3559,2004,B65G,3559,2004,B66C
6769879,6685434,9997,2004,F01D,9997,2004,F01D
6769879,6715990,9997,2004,F01D,9997,2004,F01D
6769879,6722851,9997,2004,F01D,9997,2004,F01D
6769879,6722852,9997,2004,F01D,9997,2004,F01D
6770554,6680520,3674,2004,H01L,7370,2004,H01L
6770569,6701779,3674,2004,H01L,7370,2004,G01P
6770778,6696440,2834,2004,C07C,2834,2004,A61K
6770968,6719871,7370,2004,H01L,7370,2004,B32B
6771005,6679474,3531,2004,H01L,3531,2004,F16K
6771005,6695283,3531,2004,H01L,3531,2004,F16K
6771005,6705588,3531,2004,H01L,3531,2004,F16K
6771170,6675071,9997,2004,G08B,9997,2004,G05D
6771508,6684501,3674,2004,H05K,7370,2004,H05K
6771533,6693823,3674,2004,G11C,3674,2004,G11C
6771578,6673410,9997,2004,H04N,9997,2004,B32B
6771608,6708019,6172,2004,G01R,6172,2004,H04B
6771611,6724837,3674,2004,H04L,3674,2004,H03D
6771762,6674851,4813,2004,H04M,4813,2004,H04M
6772135,6704612,6141,2004,G06F,6020,2004,G06F
6772161,6687701,3570,2004,G06F,3570,2004,G06F
6772167,6681229,7370,2004,G06F,7370,2004,G06F
6772257,6708241,3674,2004,G06F,3674,2004,G06F
6772272,6675260,7370,2004,G06F,3570,2004,G06F
6772377,6697975,3674,2004,H03M,3674,2004,G11C
6772604,6718277,3570,2004,F25D,3570,2004,G06F
6772620,6700670,3829,2004,G01B,3829,2004,G01B
6773370,6689010,3711,2004,F16H,3711,2004,F16H
6773370,6709358,3711,2004,F16H,3711,2004,F16H
6773370,6716130,3711,2004,F16H,3711,2004,F16H
6773989,6706592,3674,2004,H01L,3674,2004,H01L
6774327,6673697,3825,2004,H01L,3674,2004,H01L
6774373,6710360,3559,2004,H01J,3559,2004,H01J
6774457,6692994,3674,2004,H01L,3721,2004,H01L
6774836,6683485,7370,2004,H04L,3674,2004,H03L
6774998,6710876,3674,2004,G01B,3827,2004,G01B
6775078,6700719,3674,2004,G11B,3674,2004,G11B
6775168,6697277,3674,2004,G11C,7370,2004,G11C
6775192,6674677,3674,2004,G11C,3674,2004,G11C
6775223,6704267,3570,2004,G11B,3570,2004,G11B
6775223,6735163,3570,2004,G11B,3570,2004,G11B
6775623,6697729,3711,2004,G01N,3510,2004,F02M
6775672,6687701,3570,2004,G06F,3570,2004,G06F
6775673,6687701,3570,2004,G06F,3570,2004,G06F
6775719,6678782,3674,2004,G06F,7370,2004,G06F
6775719,6690757,3674,2004,G06F,3570,2004,H04L
6775995,6698663,3600,2004,F25B,3714,2004,F24F
6776221,6690575,3674,2004,F28F,7373,2004,H05K
6777025,6695029,3861,2004,B32B,3861,2004,B32B
6777025,6695030,3861,2004,B32B,3861,2004,B32B
6777571,6710207,2821,2004,C07C,2821,2004,C07C
6777800,6674157,3674,2004,H01L,3674,2004,H01L
6777907,6683428,3674,2004,H02P,3711,2004,H02P
6777951,6721283,3728,2004,G01R,3728,2004,G01R
6777971,6717430,3674,2004,G01R,3663,2004,G01R
6777980,6686769,3674,2004,H03K,3674,2004,H03K
6778553,6728775,7372,2004,H04J,7372,2004,G06F
6778554,6674727,3674,2004,H04J,3576,2004,H04L
6778665,6674857,3674,2004,H04M,3674,2004,H04M
6778665,6687371,3674,2004,H04M,3674,2004,H04M
6778682,6675146,7372,2004,H04K,7372,2004,H04K
6778958,6718303,7370,2004,G10L,7370,2004,G10L
6778983,6721727,7370,2004,G06F,7370,2004,G06F
6779076,6697909,3674,2004,G06F,7370,2004,G06F
6779106,6675375,7370,2004,G06F,3571,2004,G06F
6779132,6687845,3728,2004,G06F,3728,2004,G06F
6779132,6697959,3728,2004,G06F,3728,2004,G06F
6779151,6701485,7372,2004,G06F,7372,2004,G06F
6779607,6719054,1600,2004,E21B,1600,2004,E21B
6779717,6672505,3578,2004,G06F,3578,2004,G06F
6779717,6676018,3578,2004,G06F,3578,2004,G06F
6779717,6705517,3578,2004,G06F,3578,2004,G06F
6779977,6715990,9997,2004,F01D,9997,2004,F01D
6779977,6722852,9997,2004,F01D,9997,2004,F01D
6780059,6676450,3825,2004,H01R,9997,2004,H01R
6780762,6686288,3674,2004,H01L,3674,2004,H01L
6780762,6696359,3674,2004,H01L,3674,2004,H01L
6780834,6692536,2844,2004,C11D,2840,2004,D06Q
6781008,6710207,2821,2004,C07C,2821,2004,C07C
6781418,6674306,3674,2004,H03K,3674,2004,H03K
6781486,6711394,3812,2004,H01P,3825,2004,H04B
6781638,6690290,3651,2004,H04N,3651,2004,G08C
6781969,6711380,3663,2004,H04B,3663,2004,H04B
6782257,6678525,7373,2004,H04Q,7373,2004,H04Q
6782317,6672145,3728,2004,G01M,3728,2004,G01M
6782415,6717957,3579,2004,G06F,3579,2004,H04J
6782421,6701342,4813,2004,G06F,3825,2004,G06F
6782421,6718358,4813,2004,G06F,7370,2004,G06F
6782443,6678760,3570,2004,G06F,3674,2004,G06F
6782453,6681297,3570,2004,G06F,3674,2004,G06F
6782471,6721885,3570,2004,G06F,7370,2004,G06F
6782495,6681344,3577,2004,G06F,7372,2004,G06F
6782537,6718398,7370,2004,G06F,3571,2004,G06F
6782868,6691669,3711,2004,F00D,3711,2004,F02B
6782868,6735938,3711,2004,F00D,3711,2004,F01N
6782868,6736121,3711,2004,F00D,3711,2004,F02D
6782868,6745747,3711,2004,F00D,3711,2004,F02D
6782871,6748964,9997,2004,G05D,9997,2004,G05D
6782887,6722364,3841,2004,A61M,3841,2004,A61M
6783159,6689243,3570,2004,B42D,3714,2004,B65C
6783337,6682315,3531,2004,F04B,3531,2004,F04B
6784094,6673713,3674,2004,H01L,3674,2004,H01L
6784094,6703297,3674,2004,H01L,3674,2004,H01L
6784141,6702044,1600,2004,C09K,1600,2004,E21B
6784746,6677823,3825,2004,H03F,3357,2004,H03G
6784818,6697005,3674,2004,H03M,3674,2004,H03M
6784818,6720798,3674,2004,H03M,3674,2004,H03K
6784822,6677879,3674,2004,H03M,3674,2004,H03M
6784892,6734867,3674,2004,G09G,3674,2004,G09G
6785153,6711041,3674,2004,G11C,3674,2004,G11C
6785223,6674713,9997,2004,H04L,3576,2004,H04J
6785321,6677895,3663,2004,H04B,3812,2004,G01S
6785419,6701016,7372,2004,G06K,7372,2004,G06K
6785551,6725049,3711,2004,H04Q,3663,2004,H04Q
6785725,6714541,3661,2004,G06F,3576,2004,H04L
6785772,6678795,3674,2004,G06F,7370,2004,G06F
6785775,6681293,7373,2004,G06F,3571,2004,G06F
6785775,6704831,7373,2004,G06F,3571,2004,G06F
6785832,6700409,7370,2004,G06F,3571,2004,G11C
6785832,6724846,7370,2004,G06F,3570,2004,H04L
6785836,6718435,3674,2004,G06F,7370,2004,G06F
6785887,6697834,7370,2004,G06F,3571,2004,G06F
6785979,6681496,6172,2004,G01B,3825,2004,G01B
6786193,6725830,9997,2004,F02B,3711,2004,F02P
6786468,6676106,3714,2004,F16K,3577,2004,F16K
6786905,6692491,3841,2004,A61B,3841,2004,A61B
6787423,6730576,3674,2004,H01L,3674,2004,H01L
6787440,6674138,3674,2004,H01L,3674,2004,H01L
6787440,6682973,3674,2004,H01L,3674,2004,H01L
6787440,6689675,3674,2004,H01L,3674,2004,H01L
6787440,6693004,3674,2004,H01L,3674,2004,H01L
6787440,6713358,3674,2004,H01L,3674,2004,H01L
6787852,6723621,3674,2004,H01L,7370,2004,H01L
6788098,6693436,3674,2004,H03K,3674,2004,G01R
6788226,6674374,7373,2004,H03M,7373,2004,H03M
6788238,6674388,3674,2004,H03M,3674,2004,H03M
6788461,6714350,3861,2004,G02B,3861,2004,G02B
6788647,6684244,3576,2004,H04L,3570,2004,G06F
6788657,6680932,7373,2004,H04Q,7373,2004,H04J
6789059,6714907,3663,2004,G10L,3674,2004,G10L
