,Cluster 1,Cluster 0
ID#,1408.8213474640424,2313.7453323375653
Balance,134322.08478425434,43649.07953696789
Qual_miles,266.5692657077971,83.71023151605677
cc1_miles,3.535200605601817,1.3315907393577298
cc2_miles,1.0098410295230886,1.0168035847647499
cc3_miles,1.0340651021953067,1.001493651979089
Bonus_miles,40523.70855412566,5612.554518297236
Bonus_trans,19.993943981831947,7.462285287528006
Flight_miles_12mo,970.9916729750189,208.02203136669155
Flight_trans_12,2.887206661619985,0.6269604182225541
Days_since_enroll,5212.060560181681,3579.1587005227784
Award?,0.6941710825132476,0.210604929051531
ClusterID,1.0,0.0
