,Cluster 0,Cluster 1
ID#,1686.9525440313112,2429.265375854214
Balance,101831.55675146771,37554.416856492026
Qual_miles,215.2049902152642,9.916287015945331
cc1_miles,2.8610567514677103,1.189635535307517
cc2_miles,1.0,1.0313211845102506
cc3_miles,1.023972602739726,1.0
Bonus_miles,28961.496086105675,3953.990318906606
Bonus_trans,16.15362035225049,6.5
Flight_miles_12mo,680.4618395303327,117.48519362186788
Flight_trans_12,1.925146771037182,0.4214123006833713
Days_since_enroll,4732.862035225049,3388.125854214123
Award?,0.6761252446183953,0.00968109339407745
ClusterID,0.0,1.0
